BottleID	Date	Time	Pressure	pH
"""0360200104,"	"041692,"	"181817,"	"4397.6,"	"7.585,"""
"""0370200120,"	"060892,"	"203927,"	"1199.1,"	"7.401,"""
"""0370200111,"	"060892,"	"194706,"	"3005.2,"	"7.536,"""
"""0370200106,"	"060892,"	"192022,"	"3989.8,"	"7.572,"""
"""0370200104,"	"060892,"	"191034,"	"4401.0,"	"7.578,"""
"""0370200314,"	"060992,"	"040354,"	"226.7,"	"7.868,"""
"""0370200312,"	"060992,"	"040058,"	"253.0,"	"7.796,"""
"""0370200306,"	"060992,"	"034400,"	"503.5,"	"7.473,"""
"""0370200301,"	"060992,"	"032518,"	"1035.2,"	"7.387,"""
"""0370200422,"	"060992,"	"071743,"	"4.7,"	"8.098,"""
"""0370200419,"	"060992,"	"071419,"	"24.7,"	"8.099,"""
"""0370200417,"	"060992,"	"071144,"	"44.8,"	"8.092,"""
"""0370200415,"	"060992,"	"070851,"	"74.9,"	"8.084,"""
"""0370200413,"	"060992,"	"070602,"	"94.9,"	"8.059,"""
"""0370200411,"	"060992,"	"070317,"	"113.4,"	"8.041,"""
"""0370200408,"	"060992,"	"065839,"	"148.3,"	"7.996,"""
"""0370200406,"	"060992,"	"065523,"	"175.1,"	"7.949,"""
"""0370200404,"	"060992,"	"065146,"	"202.8,"	"7.891,"""
"""0380200111,"	"070492,"	"151730,"	"2999.9,"	"7.535,"""
"""0380200109,"	"070492,"	"150750,"	"3409.6,"	"7.560,"""
"""0380200106,"	"070492,"	"145348,"	"3997.3,"	"7.579,"""
"""0380200104,"	"070492,"	"144401,"	"4393.3,"	"7.584,"""
"""0380200318,"	"070492,"	"234736,"	"25.5,"	"8.098,"""
"""0380200302,"	"070492,"	"230920,"	"1000.3,"	"7.387,"""
"""0380200516,"	"070592,"	"053945,"	"212.8,"	"7.966,"""
"""0380200515,"	"070592,"	"053833,"	"228.4,"	"7.968,"""
"""0380200513,"	"070592,"	"053617,"	"253.9,"	"7.955,"""
"""0380200511,"	"070592,"	"053335,"	"304.5,"	"7.870,"""
"""0380200508,"	"070592,"	"052901,"	"401.9,"	"7.747,"""
"""0380200506,"	"070592,"	"052539,"	"504.0,"	"7.512,"""
"""0380200505,"	"070592,"	"052247,"	"596.4,"	"7.413,"""
"""0380200503,"	"070592,"	"051645,"	"806.0,"	"7.362,"""
"""0380200501,"	"070592,"	"051047,"	"1026.3,"	"7.393,"""
"""0380200622,"	"070592,"	"083712,"	"8.6,"	"8.098,"""
"""0380200619,"	"070592,"	"083518,"	"28.5,"	"8.099,"""
"""0380200616,"	"070592,"	"083332,"	"48.5,"	"8.093,"""
"""0380200614,"	"070592,"	"083151,"	"78.1,"	"8.093,"""
"""0380200611,"	"070592,"	"082902,"	"108.5,"	"8.077,"""
"""0380200609,"	"070592,"	"082709,"	"129.3,"	"8.054,"""
"""0380200607,"	"070592,"	"082522,"	"153.9,"	"8.036,"""
"""0380200605,"	"070592,"	"082338,"	"178.1,"	"8.015,"""
"""0380200603,"	"070592,"	"082123,"	"200.2,"	"7.995,"""
"""0380201318,"	"070692,"	"035901,"	"9.0,"	"8.096,"""
"""0380201314,"	"070692,"	"035520,"	"28.8,"	"8.098,"""
"""0380201312,"	"070692,"	"035145,"	"80.2,"	"8.079,"""
"""0380201308,"	"070692,"	"034634,"	"155.8,"	"8.015,"""
"""0380201306,"	"070692,"	"034250,"	"204.0,"	"7.968,"""
"""0380201305,"	"070692,"	"034021,"	"251.7,"	"7.905,"""
"""0380201303,"	"070692,"	"033426,"	"504.8,"	"7.503,"""
"""0380201302,"	"070692,"	"032934,"	"757.6,"	"7.356,"""
"""0380201301,"	"070692,"	"032422,"	"1029.7,"	"7.390,"""
"""0390200312,"	"080592,"	"031539,"	"278.9,"	"7.823,"""
"""0390200301,"	"080592,"	"025057,"	"1023.5,"	"7.397,"""
"""0390200920,"	"080592,"	"212512,"	"1404.1,"	"7.428,"""
"""0390200917,"	"080592,"	"205705,"	"2004.9,"	"7.468,"""
"""0390200915,"	"080592,"	"204909,"	"2404.7,"	"7.497,"""
"""0390200912,"	"080592,"	"203611,"	"3003.8,"	"7.535,"""
"""0390200911,"	"080592,"	"203138,"	"3203.6,"	"7.546,"""
"""0390200909,"	"080592,"	"202159,"	"3604.8,"	"7.559,"""
"""0390200907,"	"080592,"	"201141,"	"4005.5,"	"7.573,"""
"""0390200905,"	"080592,"	"200204,"	"4405.6,"	"7.576,"""
"""0390201219,"	"080692,"	"090756,"	"118.5,"	"8.047,"""
"""0390201218,"	"080692,"	"090714,"	"128.8,"	"8.041,"""
"""0390201216,"	"080692,"	"090554,"	"153.5,"	"7.996,"""
"""0390201214,"	"080692,"	"090422,"	"178.8,"	"7.974,"""
"""0390201212,"	"080692,"	"090254,"	"204.5,"	"7.950,"""
"""0390201210,"	"080692,"	"090116,"	"231.4,"	"7.911,"""
"""0390201316,"	"080692,"	"112648,"	"9.9,"	"8.111,"""
"""0390201312,"	"080692,"	"112443,"	"31.1,"	"8.108,"""
"""0390201311,"	"080692,"	"112430,"	"31.0,"	"8.101,"""
"""0390201310,"	"080692,"	"112346,"	"40.3,"	"8.111,"""
"""0390201309,"	"080692,"	"112307,"	"49.3,"	"8.101,"""
"""0390201308,"	"080692,"	"112220,"	"64.8,"	"8.090,"""
"""0400200124,"	"-00009,"	"-00009,"	"1396.5,"	"7.425,"""
"""0400200112,"	"-00009,"	"-00009,"	"3203.4,"	"7.546,"""
"""0400200107,"	"-00009,"	"-00009,"	"3998.5,"	"7.573,"""
"""0400200103,"	"-00009,"	"-00009,"	"4497.4,"	"7.581,"""
"""0400200218,"	"-00009,"	"-00009,"	"7.1,"	"8.113,"""
"""0400200515,"	"-00009,"	"-00009,"	"225.5,"	"7.958,"""
"""0400200513,"	"-00009,"	"-00009,"	"250.4,"	"7.931,"""
"""0400200506,"	"-00009,"	"-00009,"	"499.9,"	"7.561,"""
"""0400200501,"	"-00009,"	"-00009,"	"1022.9,"	"7.393,"""
"""0400200621,"	"-00009,"	"-00009,"	"15.6,"	"8.113,"""
"""0400200618,"	"-00009,"	"-00009,"	"35.4,"	"8.112,"""
"""0420200111,"	"-00009,"	"-00009,"	"125.0,"	"8.068,"""
"""0420200109,"	"-00009,"	"-00009,"	"150.0,"	"8.050,"""
"""0420200105,"	"-00009,"	"-00009,"	"200.0,"	"7.989,"""
"""0420200101,"	"-00009,"	"-00009,"	"250.0,"	"7.968,"""
"""0420200212,"	"-00009,"	"-00009,"	"5.0,"	"8.111,"""
"""0420200210,"	"-00009,"	"-00009,"	"25.0,"	"8.109,"""
"""0420200209,"	"-00009,"	"-00009,"	"35.0,"	"8.111,"""
"""0420200205,"	"-00009,"	"-00009,"	"85.0,"	"8.105,"""
"""0420200312,"	"-00009,"	"-00009,"	"5.0,"	"8.109,"""
"""0420200310,"	"-00009,"	"-00009,"	"25.0,"	"8.111,"""
"""0430200510,"	"-00009,"	"-00009,"	"5.0,"	"8.104,"""
"""0430200507,"	"-00009,"	"-00009,"	"25.0,"	"8.103,"""
"""0430200612,"	"-00009,"	"-00009,"	"5.0,"	"8.104,"""
"""0430200610,"	"-00009,"	"-00009,"	"25.0,"	"8.105,"""
"""0430200609,"	"-00009,"	"-00009,"	"35.0,"	"8.106,"""
"""0430200607,"	"-00009,"	"-00009,"	"60.0,"	"8.099,"""
"""0430200605,"	"-00009,"	"-00009,"	"85.0,"	"8.104,"""
"""0430200603,"	"-00009,"	"-00009,"	"105.0,"	"8.064,"""
"""0430200711,"	"-00009,"	"-00009,"	"125.0,"	"8.056,"""
"""0430200710,"	"-00009,"	"-00009,"	"135.0,"	"8.050,"""
"""0430200705,"	"-00009,"	"-00009,"	"200.0,"	"7.986,"""
"""0430200701,"	"-00009,"	"-00009,"	"250.0,"	"7.954,"""
"""0440200312,"	"012093,"	"044825,"	"275.4,"	"7.922,"""
"""0440200303,"	"012093,"	"042419,"	"898.2,"	"7.353,"""
"""0440200412,"	"012093,"	"065339,"	"135.1,"	"8.071,"""
"""0440200410,"	"012093,"	"064754,"	"160.5,"	"8.019,"""
"""0440200406,"	"012093,"	"064323,"	"209.9,"	"7.960,"""
"""0440200402,"	"012093,"	"063850,"	"1028.8,"	"7.381,"""
"""0440200512,"	"012093,"	"100604,"	"9.1,"	"8.094,"""
"""0440200511,"	"012093,"	"100428,"	"24.7,"	"8.095,"""
"""0440200509,"	"012093,"	"100211,"	"45.3,"	"8.092,"""
"""0440200507,"	"012093,"	"095907,"	"75.5,"	"8.097,"""
"""0440200502,"	"012093,"	"095354,"	"130.4,"	"8.089,"""
"""0440200611,"	"012093,"	"142230,"	"6.5,"	"8.081,"""
"""0440200712,"	"012093,"	"174715,"	"3.9,"	"8.098,"""
"""0440200812,"	"012093,"	"200615,"	"4.3,"	"8.090,"""
"""0440201004,"	"012193,"	"022926,"	"5.2,"	"8.096,"""
"""0440201104,"	"012193,"	"053359,"	"10.7,"	"8.098,"""
"""0440201208,"	"012193,"	"082847,"	"11.3,"	"8.090,"""
"""0440201207,"	"012193,"	"082832,"	"11.3,"	"8.094,"""
"""0440201205,"	"012193,"	"082657,"	"27.6,"	"8.097,"""
"""0440201204,"	"012193,"	"082649,"	"27.6,"	"8.096,"""
"""0440201312,"	"012193,"	"114728,"	"5.2,"	"8.099,"""
"""0440201412,"	"012193,"	"144314,"	"8.8,"	"8.090,"""
"""0440201609,"	"012193,"	"202911,"	"8.7,"	"8.090,"""
"""0440201712,"	"012293,"	"001237,"	"7.2,"	"8.092,"""
"""0440201804,"	"012293,"	"025253,"	"7.3,"	"8.097,"""
"""0450200104,"	"021693,"	"141818,"	"4437.6,"	"7.579,"""
"""0450200509,"	"021793,"	"043215,"	"351.3,"	"7.801,"""
