Record_ID,Year,Month,Day,Decimal_latitude,Decimal_longitude,Country,Study_area,Location,Depth,Replicate,Data provider,Project,Coris_julis,Epinephelus_marginatus,Fistularia_commersonii,Serranus_cabrilla,Sparisoma_cretense,Siganus_luridus,Siganus_rivulatus,Sarpa_salpa,Serranus_scriba,Thalassoma_pavo,Pterois_miles,Stephanolopis_diaspros,Parupeneus_forskali,Pempheris_rhomboidea,Torquigener_flavimaculosus
1,2009,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,1,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,3,0,0,0,0,0,0,0,4,6,0,0,0,0,0
2,2009,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,2,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0
3,2009,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,3,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2009,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,4,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0
5,2009,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,5,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,3,0,0,1,0,0,0,0,2,5,0,0,0,0,0
6,2009,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,6,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,4,0,0,2,0,0,0,0,1,8,0,0,0,0,0
7,2009,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,7,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,7,0,0,0,0,0,0,0,1,7,0,0,0,0,0
8,2009,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,8,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,0,0,0,1,0,0,0,7,0,6,0,0,0,0,0
9,2009,9,18,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,1,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,2,1,0,0,0,0,0,30,3,1,0,0,0,0,0
10,2009,9,18,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,2,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,5,0,0,0,0,0,0,17,2,1,0,0,0,0,0
11,2009,9,18,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,3,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,1,0,0,0,0,0,0,70,5,5,0,0,0,0,0
12,2009,9,18,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,4,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,5,0,0,0,0,0,0,30,4,16,0,0,0,0,0
